PORTFOLIO,COMPANY_CODE,KEY_DATE,AMOUNT,CURRENCY,FISCAL_YEAR,EXPECTATION_CHANGE,CLASSIFICATION,RISK_TYPE,SHOCK,RISK_CLASS,IMPACT,GROWTH_PERCENT
COMP_1_L,IND03,31.03.1970,50000,INR,1969,19,L,Mortality,0.15,Underwriting Risk,7500,0
COMP_1_L,IND03,31.03.1970,20000,INR,1969,20,L,Morbidity,-0.25,Underwriting Risk,-5000,0
COMP_1_L,IND03,31.03.1970,60000,INR,1969,21,L,Longevity,0.2,Underwriting Risk,12000,0
COMP_1_L,IND03,31.03.1970,15000,INR,1969,22,L,Lapse,-0.2,Underwriting Risk,-3000,0
COMP_1_L,IND03,31.03.1970,45000,INR,1969,23,L,Expense,0.1,Underwriting Risk,4500,0
COMP_2_L,IND03,31.03.1970,25000,INR,1969,19,L,Mortality,0.15,Underwriting Risk,3750,0
COMP_2_L,IND03,31.03.1970,10000,INR,1969,20,L,Morbidity,-0.25,Underwriting Risk,-2500,0
COMP_2_L,IND03,31.03.1970,30000,INR,1969,21,L,Longevity,0.2,Underwriting Risk,6000,0
COMP_2_L,IND03,31.03.1970,7500,INR,1969,22,L,Lapse,-0.2,Underwriting Risk,-1500,0
COMP_2_L,IND03,31.03.1970,22500,INR,1969,23,L,Expense,0.1,Underwriting Risk,2250,0
COMP_1_NL,IND03,31.03.1970,100000,INR,1969,19,A,Equity,-0.15,Underwriting Risk,-15000,0
COMP_1_NL,IND03,31.03.1970,50000,INR,1969,20,A,Property,-0.1,Underwriting Risk,-5000,0
COMP_1_NL,IND03,31.03.1970,50000,INR,1969,21,A,Stock Prices,0.07,Underwriting Risk,3500,0
COMP_1_NL,IND03,31.03.1970,25000,INR,1969,22,A,Market Volatility,0.25,Underwriting Risk,6250,0
COMP_1_NL,IND03,31.03.1970,10000,INR,1969,23,L,Premium&Reserve,0.1,Underwriting Risk,1000,0
COMP_2_NL,IND03,31.03.1970,50000,INR,1969,19,A,Equity,-0.15,Underwriting Risk,-7500,0
COMP_2_NL,IND03,31.03.1970,25000,INR,1969,20,A,Property,-0.1,Underwriting Risk,-2500,0
COMP_2_NL,IND03,31.03.1970,25000,INR,1969,21,A,Stock Prices,0.07,Underwriting Risk,1750,0
COMP_2_NL,IND03,31.03.1970,12500,INR,1969,22,A,Market Volatility,0.25,Underwriting Risk,3125,0
COMP_2_NL,IND03,31.03.1970,5000,INR,1969,23,L,Premium&Reserve,0.1,Underwriting Risk,500,0
COMP_1_L,IND03,30.06.1970,60000,INR,1970,19,L,Mortality,0.15,Underwriting Risk,9000,20
COMP_1_L,IND03,30.06.1970,24000,INR,1970,20,L,Morbidity,-0.25,Underwriting Risk,-6000,-20
COMP_1_L,IND03,30.06.1970,72000,INR,1970,21,L,Longevity,0.2,Underwriting Risk,14400,20
COMP_1_L,IND03,30.06.1970,18000,INR,1970,22,L,Lapse,-0.2,Underwriting Risk,-3600,-20
COMP_1_L,IND03,30.06.1970,54000,INR,1970,23,L,Expense,0.1,Underwriting Risk,5400,20
COMP_2_L,IND03,30.06.1970,30000,INR,1970,19,L,Mortality,0.15,Underwriting Risk,4500,20
COMP_2_L,IND03,30.06.1970,12000,INR,1970,20,L,Morbidity,-0.25,Underwriting Risk,-3000,-20
COMP_2_L,IND03,30.06.1970,36000,INR,1970,21,L,Longevity,0.2,Underwriting Risk,7200,20
COMP_2_L,IND03,30.06.1970,9000,INR,1970,22,L,Lapse,-0.2,Underwriting Risk,-1800,-20
COMP_2_L,IND03,30.06.1970,27000,INR,1970,23,L,Expense,0.1,Underwriting Risk,2700,20
COMP_1_NL,IND03,30.06.1970,120000,INR,1970,19,A,Equity,-0.15,Underwriting Risk,-18000,-20
COMP_1_NL,IND03,30.06.1970,60000,INR,1970,20,A,Property,-0.1,Underwriting Risk,-6000,-20
COMP_1_NL,IND03,30.06.1970,60000,INR,1970,21,A,Stock Prices,0.07,Underwriting Risk,4200,20
COMP_1_NL,IND03,30.06.1970,30000,INR,1970,22,A,Market Volatility,0.25,Underwriting Risk,7500,20
COMP_1_NL,IND03,30.06.1970,12000,INR,1970,23,L,Premium&Reserve,0.1,Underwriting Risk,1200,20
COMP_2_NL,IND03,30.06.1970,60000,INR,1970,19,A,Equity,-0.15,Underwriting Risk,-9000,-20
COMP_2_NL,IND03,30.06.1970,30000,INR,1970,20,A,Property,-0.1,Underwriting Risk,-3000,-20
COMP_2_NL,IND03,30.06.1970,30000,INR,1970,21,A,Stock Prices,0.07,Underwriting Risk,2100,20
COMP_2_NL,IND03,30.06.1970,15000,INR,1970,22,A,Market Volatility,0.25,Underwriting Risk,3750,20
COMP_2_NL,IND03,30.06.1970,6000,INR,1970,23,L,Premium&Reserve,0.1,Underwriting Risk,600,20
COMP_1_L,IND03,30.09.1970,70000,INR,1970,19,L,Mortality,0.15,Underwriting Risk,10500,16.66666667
COMP_1_L,IND03,30.09.1970,28000,INR,1970,20,L,Morbidity,-0.25,Underwriting Risk,-7000,-16.66666667
COMP_1_L,IND03,30.09.1970,84000,INR,1970,21,L,Longevity,0.2,Underwriting Risk,16800,16.66666667
COMP_1_L,IND03,30.09.1970,21000,INR,1970,22,L,Lapse,-0.2,Underwriting Risk,-4200,-16.66666667
COMP_1_L,IND03,30.09.1970,63000,INR,1970,23,L,Expense,0.1,Underwriting Risk,6300,16.66666667
COMP_2_L,IND03,30.09.1970,35000,INR,1970,19,L,Mortality,0.15,Underwriting Risk,5250,16.66666667
COMP_2_L,IND03,30.09.1970,14000,INR,1970,20,L,Morbidity,-0.25,Underwriting Risk,-3500,-16.66666667
COMP_2_L,IND03,30.09.1970,42000,INR,1970,21,L,Longevity,0.2,Underwriting Risk,8400,16.66666667
COMP_2_L,IND03,30.09.1970,10500,INR,1970,22,L,Lapse,-0.2,Underwriting Risk,-2100,-16.66666667
COMP_2_L,IND03,30.09.1970,31500,INR,1970,23,L,Expense,0.1,Underwriting Risk,3150,16.66666667
COMP_1_NL,IND03,30.09.1970,140000,INR,1970,19,A,Equity,-0.15,Underwriting Risk,-21000,-16.66666667
COMP_1_NL,IND03,30.09.1970,70000,INR,1970,20,A,Property,-0.1,Underwriting Risk,-7000,-16.66666667
COMP_1_NL,IND03,30.09.1970,70000,INR,1970,21,A,Stock Prices,0.07,Underwriting Risk,4900,16.66666667
COMP_1_NL,IND03,30.09.1970,35000,INR,1970,22,A,Market Volatility,0.25,Underwriting Risk,8750,16.66666667
COMP_1_NL,IND03,30.09.1970,14000,INR,1970,23,L,Premium&Reserve,0.1,Underwriting Risk,1400,16.66666667
COMP_2_NL,IND03,30.09.1970,70000,INR,1970,19,A,Equity,-0.15,Underwriting Risk,-10500,-16.66666667
COMP_2_NL,IND03,30.09.1970,35000,INR,1970,20,A,Property,-0.1,Underwriting Risk,-3500,-16.66666667
COMP_2_NL,IND03,30.09.1970,35000,INR,1970,21,A,Stock Prices,0.07,Underwriting Risk,2450,16.66666667
COMP_2_NL,IND03,30.09.1970,17500,INR,1970,22,A,Market Volatility,0.25,Underwriting Risk,4375,16.66666667
COMP_2_NL,IND03,30.09.1970,7000,INR,1970,23,L,Premium&Reserve,0.1,Underwriting Risk,700,16.66666667
COMP_1_L,IND03,31.12.1970,80000,INR,1970,19,L,Mortality,0.15,Underwriting Risk,12000,14.28571429
COMP_1_L,IND03,31.12.1970,32000,INR,1970,20,L,Morbidity,-0.25,Underwriting Risk,-8000,-14.28571429
COMP_1_L,IND03,31.12.1970,96000,INR,1970,21,L,Longevity,0.2,Underwriting Risk,19200,14.28571429
COMP_1_L,IND03,31.12.1970,24000,INR,1970,22,L,Lapse,-0.2,Underwriting Risk,-4800,-14.28571429
COMP_1_L,IND03,31.12.1970,72000,INR,1970,23,L,Expense,0.1,Underwriting Risk,7200,14.28571429
COMP_2_L,IND03,31.12.1970,40000,INR,1970,19,L,Mortality,0.15,Underwriting Risk,6000,14.28571429
COMP_2_L,IND03,31.12.1970,16000,INR,1970,20,L,Morbidity,-0.25,Underwriting Risk,-4000,-14.28571429
COMP_2_L,IND03,31.12.1970,48000,INR,1970,21,L,Longevity,0.2,Underwriting Risk,9600,14.28571429
COMP_2_L,IND03,31.12.1970,12000,INR,1970,22,L,Lapse,-0.2,Underwriting Risk,-2400,-14.28571429
COMP_2_L,IND03,31.12.1970,36000,INR,1970,23,L,Expense,0.1,Underwriting Risk,3600,14.28571429
COMP_1_NL,IND03,31.12.1970,160000,INR,1970,19,A,Equity,-0.15,Underwriting Risk,-24000,-14.28571429
COMP_1_NL,IND03,31.12.1970,80000,INR,1970,20,A,Property,-0.1,Underwriting Risk,-8000,-14.28571429
COMP_1_NL,IND03,31.12.1970,80000,INR,1970,21,A,Stock Prices,0.07,Underwriting Risk,5600,14.28571429
COMP_1_NL,IND03,31.12.1970,40000,INR,1970,22,A,Market Volatility,0.25,Underwriting Risk,10000,14.28571429
COMP_1_NL,IND03,31.12.1970,16000,INR,1970,23,L,Premium&Reserve,0.1,Underwriting Risk,1600,14.28571429
COMP_2_NL,IND03,31.12.1970,80000,INR,1970,19,A,Equity,-0.15,Underwriting Risk,-12000,-14.28571429
COMP_2_NL,IND03,31.12.1970,40000,INR,1970,20,A,Property,-0.1,Underwriting Risk,-4000,-14.28571429
COMP_2_NL,IND03,31.12.1970,40000,INR,1970,21,A,Stock Prices,0.07,Underwriting Risk,2800,14.28571429
